Extracted Song Name,singer,genre
Learn To Fly,"Foo Fighters	rock",rock
Everlong,"Foo Fighters	rock",rock
Foo Fighters - The Pretender,"Foo Fighters	rock",rock
My Hero,"Foo Fighters	rock",rock
Best Of You,"Foo Fighters	rock",rock
Mr. Brightside,"The Killers	rock",rock
When You Were Young,"The Killers	rock",rock
Mr. Brightside,"The Killers	rock",rock
Somebody Told Me,"The Killers	rock",rock
Crossfire,"The Killers	rock",rock
Basket Case [Official Music Video],"Green Day	rock",rock
When I Come Around [Official Music Video],"Green Day	rock",rock
Green Day - American Idiot [Official Music Video] [4K Upgrade],"Green Day	rock",rock
Green Day - Boulevard Of Broken Dreams [Official Music Video] [4K Upgrade],"Green Day	rock",rock
Green Day - Wake Me Up When September Ends [Official Music Video] [4K Upgrade],"Green Day	rock",rock
