,titles,view_counts,query
0,Taylor Swift - Anti-Hero (Official Music Video),212893513,Anti-Hero by Taylor Swift
1,Taylor Swift - Anti-Hero (Official Lyric Video),34875876,Anti-Hero by Taylor Swift
2,Taylor Swift - Anti-Hero (Lyrics),14266885,Anti-Hero by Taylor Swift
3,"Taylor Swift - Anti Hero (Lyrics) &quot;It&#39;s me, hi, I&#39;m the problem, it&#39;s me&quot;",5444496,Anti-Hero by Taylor Swift
4,Taylor Swift - Anti-Hero,1332074,Anti-Hero by Taylor Swift
5,Taylor Swift - Lavender Haze (Official Music Video),67883137,Lavender Haze by Taylor Swift
6,Taylor Swift - Lavender Haze (Official Lyric Video),24439388,Lavender Haze by Taylor Swift
7,Taylor Swift - Lavender Haze (Lyrics),779649,Lavender Haze by Taylor Swift
8,Taylor Swift - Lavender Haze (Lyrics),621134,Lavender Haze by Taylor Swift
9,Taylor Swift - Lavender Haze (Lyrics),608444,Lavender Haze by Taylor Swift
10,Taylor Swift - Cruel Summer (Official Audio),217159415,Cruel Summer by Taylor Swift
11,Taylor Swift - Cruel Summer,47482978,Cruel Summer by Taylor Swift
12,Taylor Swift - Cruel Summer (Lyrics),14849803,Cruel Summer by Taylor Swift
13,Taylor Swift - Cruel Summer (Music Video),12308212,Cruel Summer by Taylor Swift
14,Taylor Swift - Cruel Summer (Lyrics),5932839,Cruel Summer by Taylor Swift
15,Taylor Swift - cardigan,189422698,cardigan by Taylor Swift
16,Taylor Swift - cardigan (Official Lyric Video),35597351,cardigan by Taylor Swift
17,Taylor Swift - cardigan (Lyrics),4473881,cardigan by Taylor Swift
18,Cardigan - Taylor Swift (Lyric Video),1797303,cardigan by Taylor Swift
19,Taylor Swift - cardigan (Lyrics),1668436,cardigan by Taylor Swift
20,Taylor Swift - willow (Official Music Video),149006773,willow by Taylor Swift
21,Taylor Swift - willow (Official Lyric Video),16113694,willow by Taylor Swift
22,Taylor Swift - cardigan / august / willow (Live From The 63rd GRAMMYs ® / 2021),10257422,willow by Taylor Swift
23,Taylor Swift - Willow (Lyrics),1753841,willow by Taylor Swift
24,Taylor Swift - Willow (Lyrics),1117511,willow by Taylor Swift
25,Taylor Swift - Look What You Made Me Do,1512488990,Look What You Made Me Do by Taylor Swift
26,Taylor Swift - Look What You Made Me Do (Lyric Video),150777936,Look What You Made Me Do by Taylor Swift
27,Taylor Swift - Look What You Made Me Do (Lyrics),24797265,Look What You Made Me Do by Taylor Swift
28,Taylor Swift - Look What You Made Me Do (Lyrics),423664,Look What You Made Me Do by Taylor Swift
29,Look What You Made Me Do - Taylor Swift (Lyrics) 🎵,211981,Look What You Made Me Do by Taylor Swift
30,Taylor Swift - Delicate,564732754,Delicate by Taylor Swift
31,Taylor Swift - Delicate (Lyrics),7021377,Delicate by Taylor Swift
32,Taylor Swift - Delicate (Lyrics),912869,Delicate by Taylor Swift
33,Taylor Swift - Delicate (Official Audio),758339,Delicate by Taylor Swift
34,Taylor Swift - Delicate (Lyrics),697349,Delicate by Taylor Swift
35,Taylor Swift - Blank Space,3539715526,Blank Space by Taylor Swift
36,Taylor Swift - Blank Space (Lyrics),19447437,Blank Space by Taylor Swift
37,Taylor Swift - Blank Space (Taylor&#39;s Version) (Lyric Video),19216762,Blank Space by Taylor Swift
38,Taylor Swift - Blank Space (Lyrics),16573533,Blank Space by Taylor Swift
39,Taylor Swift - Blank Space (Lyrics),7528865,Blank Space by Taylor Swift
40,Taylor Swift - Bad Blood ft. Kendrick Lamar,1637598278,Bad Blood by Taylor Swift
41,Bad Blood - Taylor Swift (Lyrics) 🎵,29332377,Bad Blood by Taylor Swift
42,Taylor Swift - Bad Blood (Taylor&#39;s Version) (Lyric Video),9184214,Bad Blood by Taylor Swift
43,Taylor Swift - Bad Blood (Lyrics),8681890,Bad Blood by Taylor Swift
44,Bad Blood,5270491,Bad Blood by Taylor Swift
45,Olivia Rodrigo - vampire (Official Video),130543041,vampire by Olivia Rodrigo
46,Olivia Rodrigo - vampire (Official Lyric Video),50320039,vampire by Olivia Rodrigo
47,Olivia Rodrigo - vampire,16024366,vampire by Olivia Rodrigo
48,Olivia Rodrigo - vampire (Clean - Lyrics),10150401,vampire by Olivia Rodrigo
49,Olivia Rodrigo - Vampire (Lyrics),895139,vampire by Olivia Rodrigo
50,Olivia Rodrigo - get him back! (Official Video),46908010,get him back! by Olivia Rodrigo
51,Olivia Rodrigo - get him back! (Official Lyric Video),11076393,get him back! by Olivia Rodrigo
52,Olivia Rodrigo - get him back! (Lyrics),1506483,get him back! by Olivia Rodrigo
53,Olivia Rodrigo - get him back (Lyrics),1283269,get him back! by Olivia Rodrigo
54,Olivia Rodrigo - Get Him Back! (Lyrics),57431,get him back! by Olivia Rodrigo
55,Olivia Rodrigo - bad idea right? (Official Video),44546429,bad idea right? by Olivia Rodrigo
56,bad idea right?,12706334,bad idea right? by Olivia Rodrigo
57,Olivia Rodrigo - bad idea right? (Official Lyric Video),8391228,bad idea right? by Olivia Rodrigo
58,Olivia Rodrigo - bad idea right? (Lyrics),1360171,bad idea right? by Olivia Rodrigo
59,Olivia Rodrigo - bad idea right?,356923,bad idea right? by Olivia Rodrigo
60,Olivia Rodrigo - drivers license (Official Video),558255419,drivers license by Olivia Rodrigo
61,Olivia Rodrigo – drivers license (Lyrics),101725458,drivers license by Olivia Rodrigo
62,drivers license,33068468,drivers license by Olivia Rodrigo
63,Olivia Rodrigo - drivers license (Clean - Lyrics),10210696,drivers license by Olivia Rodrigo
64,Olivia Rodrigo - drivers license (Lyrics),8700038,drivers license by Olivia Rodrigo
65,Olivia Rodrigo - good 4 u (Official Video),494335754,good 4 u by Olivia Rodrigo
66,Olivia Rodrigo - good 4 u (Lyrics),63688095,good 4 u by Olivia Rodrigo
67,good 4 u,32230444,good 4 u by Olivia Rodrigo
68,Olivia Rodrigo - good 4 u (Lyric Video),26107964,good 4 u by Olivia Rodrigo
69,Olivia Rodrigo - good 4 u (Lyrics),6755652,good 4 u by Olivia Rodrigo
70,Olivia Rodrigo - deja vu (Official Video),477333641,deja vu by Olivia Rodrigo
71,Olivia Rodrigo - deja vu (Lyrics),59553786,deja vu by Olivia Rodrigo
72,Olivia Rodrigo - deja vu (Clean - Lyrics),13272152,deja vu by Olivia Rodrigo
73,Olivia Rodrigo - deja vu,3648600,deja vu by Olivia Rodrigo
74,Olivia Rodrigo - Deja vu (Lyrics),1263566,deja vu by Olivia Rodrigo
75,Lorde - Solar Power,28924891,Solar Power by Lorde
76,Lorde - Solar Power (Rooftop Performance),896538,Solar Power by Lorde
77,Lorde - Solar Power (Live on Late Show with Stephen Colbert),620452,Solar Power by Lorde
78,Lorde - Solar Power (Lyrics),35526,Solar Power by Lorde
79,Lorde - Solar Power (Official Audio),27662,Solar Power by Lorde
80,Lorde - Mood Ring,15297039,Mood Ring by Lorde
81,Lorde - Mood Ring (Lyric Video),38645,Mood Ring by Lorde
82,Lorde - Mood Ring (Lyrics),3597,Mood Ring by Lorde
83,Lorde - Mood Ring (Lyrics),1707,Mood Ring by Lorde
84,LORDE - MOOD RINGS ( LYRICS ),412,Mood Ring by Lorde
85,Lorde - Green Light,175699400,Green Light by Lorde
86,Lorde - Green Light (Lyrics),4183712,Green Light by Lorde
87,Lorde - Green Light (Live On SNL/2017),3939917,Green Light by Lorde
88,Lorde - Green Light (Audio),2608830,Green Light by Lorde
89,Lorde - Green Light (Lyrics),646075,Green Light by Lorde
90,Lorde - Perfect Places,48572166,Perfect Places by Lorde
91,Lorde - Perfect Places (Audio),2842417,Perfect Places by Lorde
92,Lorde - Green Light/Perfect Places Medley (Live From iHeartRADIO MMVAs/2017),2554366,Perfect Places by Lorde
93,Perfect Places || Lorde Lyrics,849997,Perfect Places by Lorde
94,Perfect Places - Lorde (Lyrics) 🎵,10528,Perfect Places by Lorde
95,Lorde - Liability,21021960,Liability by Lorde
96,Lorde - Liability (Live On SNL/2017),4679333,Liability by Lorde
97,Liability || Lorde Lyrics,2810226,Liability by Lorde
98,Lorde - Liability,2254424,Liability by Lorde
99,Euphoria - Liability by Lorde,228136,Liability by Lorde
100,Lorde - Royals (US Version),966095682,Royals by Lorde
101,LORDE - Royals,80101240,Royals by Lorde
102,Lorde - Royals Lyrics,18695717,Royals by Lorde
103,Royals - Lorde (Lyrics) 🎵,5722527,Royals by Lorde
104,Lorde - Royals (Audio),1313584,Royals by Lorde
105,Lorde - Team,284438084,Team by Lorde
106,LORDE - Team (Audio),33408026,Team by Lorde
107,Lorde  - Team (Lyric Video),23260512,Team by Lorde
108,Team - Lorde (Lyrics) 🎵,3038199,Team by Lorde
109,Lorde - Team (Audio),1028885,Team by Lorde
110,Lorde - Tennis Court,131679562,Tennis Court by Lorde
111,Lorde - Tennis Court (Flume Remix),115590517,Tennis Court by Lorde
112,Lorde - Tennis Court (Audio),2182597,Tennis Court by Lorde
113,Lorde - Tennis Court (Glastonbury 2017),365081,Tennis Court by Lorde
114,Tennis Court - Lorde (Lyrics) 🎵,179298,Tennis Court by Lorde
